epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,12105,1.00516,0.77236,1.1376,0.83495,0.8865,0.89779,0.61883,1.03887,0.75386,1.15266,0.00108004,0.00108004,0.00108004
39,12424.1,1.0071,0.76277,1.13536,0.86576,0.87088,0.91193,0.62589,1.04254,0.74961,1.15809,0.00107061,0.00107061,0.00107061
40,12742.6,0.99042,0.75568,1.1266,0.85356,0.87978,0.91094,0.62657,1.07354,0.7493,1.16882,0.00106118,0.00106118,0.00106118
41,13060.9,0.99579,0.75239,1.13245,0.86033,0.87364,0.91263,0.6256,1.0585,0.73447,1.1633,0.00105174,0.00105174,0.00105174
42,13379.4,0.98645,0.75017,1.13202,0.87299,0.87334,0.91546,0.62468,1.04341,0.73994,1.15929,0.00104231,0.00104231,0.00104231
43,13697.4,0.99843,0.74914,1.13401,0.84384,0.89162,0.90744,0.62386,1.05972,0.78938,1.17114,0.00103288,0.00103288,0.00103288
44,14014.9,0.99781,0.74814,1.137,0.87247,0.878,0.91136,0.63477,1.03567,0.75218,1.15787,0.00102345,0.00102345,0.00102345
45,14331.8,1.00107,0.74734,1.13057,0.87432,0.86165,0.92157,0.63164,1.04605,0.76748,1.15659,0.00101402,0.00101402,0.00101402
46,14648.2,0.99855,0.73019,1.12446,0.85988,0.89671,0.91138,0.63097,1.04925,0.73216,1.16196,0.00100459,0.00100459,0.00100459
47,14966.1,0.99319,0.72002,1.12353,0.87935,0.86461,0.91017,0.63282,1.04081,0.73361,1.154,0.000995156,0.000995156,0.000995156
48,15284,0.99299,0.72659,1.13387,0.874,0.88938,0.916,0.62816,1.07328,0.72959,1.17058,0.000985724,0.000985724,0.000985724
49,15603,0.97367,0.72074,1.12441,0.89258,0.86518,0.91926,0.62766,1.05034,0.72943,1.16139,0.000976293,0.000976293,0.000976293
50,15920.9,0.95808,0.69716,1.10188,0.86898,0.87523,0.90765,0.62059,1.0395,0.73698,1.16341,0.000966861,0.000966861,0.000966861
51,16238.9,0.96193,0.71518,1.11102,0.87007,0.88259,0.90766,0.6267,1.04763,0.73561,1.16288,0.00095743,0.00095743,0.00095743
52,16557.8,0.96582,0.71925,1.10731,0.86376,0.89114,0.90699,0.62011,1.07133,0.74834,1.17632,0.000947999,0.000947999,0.000947999
53,16876.2,0.95365,0.68366,1.09319,0.87361,0.87355,0.90365,0.60166,1.11156,0.77985,1.21208,0.000938567,0.000938567,0.000938567
54,17194.3,0.95908,0.68487,1.10314,0.87821,0.85149,0.90959,0.61453,1.08578,0.73797,1.18235,0.000929136,0.000929136,0.000929136
55,17512.3,0.9702,0.69932,1.11268,0.84877,0.89039,0.9033,0.60421,1.06015,0.73444,1.17072,0.000919704,0.000919704,0.000919704
56,17830.6,0.96048,0.68099,1.10091,0.86096,0.84873,0.90103,0.6217,1.03575,0.7755,1.16527,0.000910273,0.000910273,0.000910273
57,18149.3,0.95341,0.67489,1.11425,0.86764,0.87318,0.90697,0.61242,1.07867,0.75139,1.19205,0.000900842,0.000900842,0.000900842
58,18467.3,0.92778,0.66279,1.10005,0.85408,0.89329,0.90445,0.61491,1.04752,0.74686,1.16835,0.00089141,0.00089141,0.00089141
59,18785.6,0.94294,0.65348,1.0904,0.86096,0.88245,0.89274,0.60999,1.06064,0.74352,1.18206,0.000881979,0.000881979,0.000881979
60,19104.5,0.93895,0.65742,1.08632,0.84458,0.89134,0.90151,0.6157,1.05703,0.73881,1.17364,0.000872547,0.000872547,0.000872547
61,19423.3,0.94187,0.65209,1.09649,0.85542,0.89579,0.90984,0.62516,1.04524,0.74455,1.17601,0.000863116,0.000863116,0.000863116
62,19741.2,0.92853,0.67265,1.09514,0.85123,0.87394,0.9116,0.62121,1.06787,0.76199,1.17845,0.000853685,0.000853685,0.000853685
63,20059.3,0.92798,0.66463,1.08361,0.86919,0.88556,0.9129,0.62674,1.05286,0.73593,1.17223,0.000844253,0.000844253,0.000844253
64,20376.3,0.92266,0.65093,1.09784,0.86391,0.89442,0.90623,0.62679,1.04869,0.75136,1.17354,0.000834822,0.000834822,0.000834822
65,20692.9,0.93126,0.65687,1.09166,0.86362,0.86162,0.90642,0.62603,1.04046,0.75686,1.17613,0.00082539,0.00082539,0.00082539
66,21010.3,0.91153,0.64392,1.0789,0.84489,0.90998,0.90636,0.61956,1.05607,0.73741,1.17907,0.000815959,0.000815959,0.000815959
67,21328.7,0.93004,0.65315,1.09536,0.88507,0.83848,0.90172,0.61947,1.06096,0.75862,1.18206,0.000806528,0.000806528,0.000806528
68,21645.5,0.89369,0.63961,1.06819,0.86178,0.86977,0.90573,0.61541,1.06776,0.74796,1.19046,0.000797096,0.000797096,0.000797096
69,21963.4,0.8958,0.63018,1.08145,0.84223,0.88186,0.90191,0.62056,1.06179,0.74886,1.19011,0.000787665,0.000787665,0.000787665
70,22281.8,0.90887,0.63446,1.07187,0.8455,0.87864,0.89441,0.61383,1.03817,0.74153,1.17236,0.000778233,0.000778233,0.000778233
71,22600.1,0.88476,0.62273,1.06786,0.82823,0.89359,0.89069,0.60825,1.05018,0.76239,1.17664,0.000768802,0.000768802,0.000768802
72,22918.6,0.91182,0.60445,1.08344,0.86861,0.87146,0.90298,0.61258,1.05998,0.73802,1.18704,0.000759371,0.000759371,0.000759371
73,23237.3,0.88123,0.60667,1.06421,0.82498,0.9165,0.90529,0.61136,1.06293,0.75815,1.18082,0.000749939,0.000749939,0.000749939
74,23554.9,0.90524,0.63867,1.08716,0.87047,0.86337,0.90558,0.61315,1.07548,0.7343,1.18553,0.000740508,0.000740508,0.000740508
75,23872.6,0.88151,0.6159,1.07134,0.86605,0.86744,0.89552,0.60013,1.05736,0.73118,1.17801,0.000731076,0.000731076,0.000731076
76,24190.1,0.89183,0.61725,1.08025,0.87172,0.87741,0.89619,0.59634,1.09742,0.7428,1.19716,0.000721645,0.000721645,0.000721645
77,24507.9,0.88525,0.59902,1.06677,0.85267,0.88229,0.8934,0.61217,1.08888,0.74718,1.19166,0.000712214,0.000712214,0.000712214
78,24826,0.89872,0.61152,1.06994,0.86712,0.87774,0.89509,0.61516,1.07671,0.73435,1.19543,0.000702782,0.000702782,0.000702782
79,25144.3,0.90723,0.60968,1.08006,0.85179,0.88825,0.89534,0.6062,1.08798,0.7605,1.20728,0.000693351,0.000693351,0.000693351
80,25475.3,0.88979,0.59563,1.0747,0.85292,0.87215,0.89393,0.60653,1.08686,0.78953,1.21111,0.000683919,0.000683919,0.000683919
81,25798.9,0.86126,0.59901,1.05927,0.86344,0.85602,0.8883,0.60956,1.06263,0.78787,1.18514,0.000674488,0.000674488,0.000674488
82,26128.9,0.88032,0.58968,1.06171,0.85293,0.88909,0.88768,0.60924,1.03877,0.74454,1.17726,0.000665057,0.000665057,0.000665057
83,26458.1,0.86391,0.59286,1.06194,0.83814,0.90353,0.88651,0.61106,1.04097,0.73518,1.17591,0.000655625,0.000655625,0.000655625
84,26777.9,0.8666,0.58275,1.04887,0.86794,0.85229,0.89734,0.62229,1.05657,0.77269,1.18509,0.000646194,0.000646194,0.000646194
85,27099,0.84152,0.56454,1.03885,0.85824,0.86833,0.88471,0.60948,1.07333,0.75267,1.19176,0.000636762,0.000636762,0.000636762
86,27419.4,0.8705,0.57303,1.06349,0.84671,0.88454,0.89971,0.61512,1.06055,0.789,1.18093,0.000627331,0.000627331,0.000627331
87,27739.4,0.84794,0.55975,1.0449,0.87408,0.85719,0.89827,0.60372,1.09088,0.76099,1.19855,0.0006179,0.0006179,0.0006179
88,28059.2,0.86264,0.57,1.04999,0.85533,0.86196,0.90029,0.61875,1.06273,0.75465,1.18683,0.000608468,0.000608468,0.000608468
89,28378.8,0.85156,0.58826,1.05971,0.8935,0.84381,0.89941,0.60715,1.06968,0.79114,1.19968,0.000599037,0.000599037,0.000599037
90,28699.6,0.86141,0.57067,1.06091,0.86061,0.85401,0.89993,0.61377,1.05616,0.80827,1.19109,0.000589605,0.000589605,0.000589605
91,29019.4,0.85752,0.57321,1.05428,0.87731,0.84656,0.89297,0.61462,1.06581,0.75323,1.19533,0.000580174,0.000580174,0.000580174
92,29339.4,0.8513,0.56439,1.06101,0.84746,0.89464,0.89626,0.61396,1.08599,0.76669,1.21414,0.000570743,0.000570743,0.000570743
