epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.732,1.4227,2.68892,1.45303,0.90858,0.24771,0.42483,0.27661,1.21591,2.26131,1.2161,0.000467173,0.000467173,0.000467173
2,636.118,1.27337,1.5035,1.34158,0.73286,0.75393,0.76956,0.44519,1.26379,1.36207,1.20076,0.000937279,0.000937279,0.000937279
3,954.924,1.22623,1.25435,1.2891,0.76128,0.86289,0.83745,0.54684,1.1375,1.23621,1.17278,0.0014011,0.0014011,0.0014011
4,1275.67,1.24499,1.23857,1.27926,0.7819,0.85217,0.85853,0.53427,1.14083,1.2456,1.20138,0.00140071,0.00140071,0.00140071
5,1596.36,1.1818,1.1851,1.2525,0.76021,0.83569,0.84819,0.54995,1.13061,1.23101,1.19173,0.00139127,0.00139127,0.00139127
6,1914.58,1.15998,1.13689,1.24235,0.83002,0.8702,0.8903,0.5818,1.10178,1.03546,1.17576,0.00138184,0.00138184,0.00138184
7,2233.05,1.1675,1.13333,1.25014,0.83369,0.83877,0.88296,0.57813,1.12895,1.17628,1.19043,0.00137241,0.00137241,0.00137241
8,2551.93,1.13415,1.06009,1.21641,0.74556,0.85743,0.8566,0.5764,1.10199,1.01173,1.19145,0.00136298,0.00136298,0.00136298
9,2870.91,1.1189,1.06135,1.21178,0.82929,0.8632,0.89601,0.58992,1.06547,0.95415,1.15064,0.00135355,0.00135355,0.00135355
10,3188.99,1.11205,1.00302,1.19339,0.81932,0.88731,0.9064,0.6091,1.07399,0.904,1.14854,0.00134412,0.00134412,0.00134412
11,3508.34,1.08186,1.00854,1.18141,0.84978,0.87685,0.90404,0.60199,1.10275,0.99738,1.16732,0.00133469,0.00133469,0.00133469
12,3827.19,1.09832,0.9923,1.19471,0.85061,0.88519,0.90833,0.60615,1.0957,0.90475,1.17864,0.00132525,0.00132525,0.00132525
13,4146.75,1.11173,0.98215,1.18573,0.85015,0.87561,0.91698,0.61355,1.10704,0.88454,1.1961,0.00131582,0.00131582,0.00131582
14,4465.5,1.11736,0.97609,1.21102,0.88034,0.8655,0.91473,0.63052,1.05642,0.85294,1.16281,0.00130639,0.00130639,0.00130639
15,4784.27,1.08782,0.96303,1.18796,0.84259,0.89311,0.90303,0.60249,1.10703,0.88337,1.17216,0.00129696,0.00129696,0.00129696
16,5102.01,1.06816,0.95813,1.17581,0.84983,0.85015,0.89274,0.61019,1.07509,0.87694,1.1719,0.00128753,0.00128753,0.00128753
17,5421.28,1.08818,0.95581,1.20509,0.83768,0.90599,0.9112,0.61896,1.0636,0.87643,1.16291,0.0012781,0.0012781,0.0012781
18,5740.49,1.09873,0.9218,1.19401,0.84161,0.87503,0.90861,0.60593,1.12718,0.99824,1.20555,0.00126867,0.00126867,0.00126867
19,6058.99,1.07692,0.91001,1.17045,0.85622,0.88276,0.91481,0.61184,1.05502,0.84176,1.16459,0.00125923,0.00125923,0.00125923
20,6377.31,1.09073,0.92429,1.18152,0.85806,0.89396,0.91215,0.60898,1.07793,0.82824,1.16712,0.0012498,0.0012498,0.0012498
21,6695.93,1.06678,0.8982,1.16821,0.84167,0.87935,0.91258,0.6251,1.07405,0.81329,1.1654,0.00124037,0.00124037,0.00124037
22,7013.91,1.05729,0.87584,1.15257,0.83408,0.89597,0.90788,0.59656,1.16383,0.83969,1.21026,0.00123094,0.00123094,0.00123094
23,7331.29,1.05775,0.88133,1.1731,0.8273,0.89676,0.8998,0.61467,1.03982,0.81114,1.15473,0.00122151,0.00122151,0.00122151
24,7649.5,1.03068,0.87132,1.15271,0.85026,0.86305,0.91203,0.62649,1.07076,0.90414,1.16692,0.00121208,0.00121208,0.00121208
25,7967.9,1.04137,0.85424,1.14197,0.83082,0.91314,0.91767,0.62381,1.05059,0.81768,1.15787,0.00120265,0.00120265,0.00120265
26,8284.84,1.03456,0.83015,1.14701,0.83376,0.89545,0.91384,0.61399,1.06663,0.8594,1.15599,0.00119322,0.00119322,0.00119322
27,8602.95,1.02977,0.83491,1.13501,0.85882,0.85399,0.90017,0.60603,1.07444,0.92915,1.1696,0.00118378,0.00118378,0.00118378
28,8921.18,1.03069,0.82446,1.14409,0.85383,0.8811,0.89919,0.58498,1.10537,0.80137,1.21392,0.00117435,0.00117435,0.00117435
29,9238.2,1.02615,0.84828,1.1429,0.8074,0.89534,0.87751,0.59589,1.0615,0.79425,1.17157,0.00116492,0.00116492,0.00116492
30,9557.27,1.02669,0.81643,1.14681,0.82178,0.89883,0.89622,0.61249,1.0495,0.77493,1.16595,0.00115549,0.00115549,0.00115549
31,9875.63,1.03892,0.81918,1.14379,0.85209,0.87443,0.90394,0.62323,1.0553,0.77422,1.15674,0.00114606,0.00114606,0.00114606
32,10193.9,1.02247,0.81066,1.14543,0.83113,0.91393,0.90685,0.62487,1.0331,0.761,1.1483,0.00113663,0.00113663,0.00113663
33,10512.2,1.02302,0.77172,1.13943,0.88294,0.86779,0.91749,0.62992,1.08097,0.77172,1.16688,0.0011272,0.0011272,0.0011272
34,10830.1,1.00323,0.79803,1.13218,0.86992,0.8912,0.92288,0.63036,1.03114,0.7467,1.14039,0.00111776,0.00111776,0.00111776
35,11149.1,1.02304,0.78166,1.13067,0.84751,0.88489,0.92038,0.62085,1.06181,0.82206,1.16067,0.00110833,0.00110833,0.00110833
36,11467.4,1.0248,0.77975,1.12895,0.88084,0.88449,0.92186,0.62821,1.04259,0.75101,1.16361,0.0010989,0.0010989,0.0010989
37,11786.3,0.9996,0.76528,1.13625,0.86376,0.88409,0.90882,0.62485,1.04231,0.75111,1.16049,0.00108947,0.00108947,0.00108947
